Scenario_ID,Type,N_Chargers,Lat,Lng,Hub_ID
Baseline_10,Baseline,10,41.418605618135864,2.1764110685801237,1
Baseline_10,Baseline,10,41.40125939148578,2.166931781833417,2
Baseline_10,Baseline,10,41.41417450640961,2.14633622449176,3
Baseline_10,Baseline,10,41.37846828032037,2.165924044879915,4
Baseline_10,Baseline,10,41.39826992561357,2.1578247570845983,5
Baseline_10,Baseline,10,41.40778286491313,2.1933236312190885,6
Baseline_10,Baseline,10,41.409631513662234,2.1217619724276267,7
Baseline_10,Baseline,10,41.38035439756808,2.1798312055055513,8
Baseline_10,Baseline,10,41.34665107459084,2.154847608514973,9
Baseline_10,Baseline,10,41.4143875933656,2.209942881688354,10
Smart_10,Smart,10,41.397650175622346,2.162233448419828,1
Smart_10,Smart,10,41.436506453790564,2.1825967338494574,2
Smart_10,Smart,10,41.426413001464596,2.1467060407168304,3
Smart_10,Smart,10,41.37498544832804,2.143292400543471,4
Smart_10,Smart,10,41.41012457207692,2.202768192441942,5
Smart_10,Smart,10,41.413862483349114,2.17376546222753,6
Smart_10,Smart,10,41.398404126819244,2.1048322903830656,7
Smart_10,Smart,10,41.397404979608034,2.1369135594257918,8
Smart_10,Smart,10,41.33908139317766,2.1418437235448824,9
Smart_10,Smart,10,41.38942928833894,2.188076010655103,10
Baseline_25,Baseline,25,41.4085158946949,2.105188029709946,1
Baseline_25,Baseline,25,41.40129243256745,2.1705733088999852,2
Baseline_25,Baseline,25,41.41050718391848,2.145699979903636,3
Baseline_25,Baseline,25,41.373767884614736,2.126198955063111,4
Baseline_25,Baseline,25,41.408110473014986,2.168762720929363,5
Baseline_25,Baseline,25,41.41041656272269,2.122996176637193,6
Baseline_25,Baseline,25,41.37894629578536,2.1350255926529487,7
Baseline_25,Baseline,25,41.385850519662306,2.1348269536182034,8
Baseline_25,Baseline,25,41.40578801685537,2.174001495240244,9
Baseline_25,Baseline,25,41.391038635431634,2.1934798376149316,10
Baseline_25,Baseline,25,41.36796008749156,2.166525296707326,11
Baseline_25,Baseline,25,41.38046922803731,2.1702610556410655,12
Baseline_25,Baseline,25,41.42848078994705,2.1938769522448274,13
Baseline_25,Baseline,25,41.41781660170992,2.1878351037414028,14
Baseline_25,Baseline,25,41.41471133617069,2.2071821401271996,15
Baseline_25,Baseline,25,41.43039761769883,2.170054259985022,16
Baseline_25,Baseline,25,41.38618466393278,2.138130190651259,17
Baseline_25,Baseline,25,41.38349999022105,2.1232943172199916,18
Baseline_25,Baseline,25,41.374570665979924,2.169933442227441,19
Baseline_25,Baseline,25,41.39205161741766,2.1329285234445146,20
Baseline_25,Baseline,25,41.436718491507015,2.1809003915009875,21
Baseline_25,Baseline,25,41.37213843235993,2.140249939665139,22
Baseline_25,Baseline,25,41.3761806668489,2.1278053382819757,23
Baseline_25,Baseline,25,41.42674758278785,2.1610185927499934,24
Baseline_25,Baseline,25,41.38892037480618,2.143847706473671,25
Smart_25,Smart,25,41.39998643622861,2.2023945495885475,1
Smart_25,Smart,25,41.38692434627549,2.1346873220881717,2
Smart_25,Smart,25,41.40635499861114,2.1623782524556296,3
Smart_25,Smart,25,41.44265563759473,2.1751489960128065,4
Smart_25,Smart,25,41.41984961347174,2.1416876305221435,5
Smart_25,Smart,25,41.41949568361786,2.0894607137099888,6
Smart_25,Smart,25,41.33908139317766,2.1418437235448824,7
Smart_25,Smart,25,41.42258558067382,2.1870113006422827,8
Smart_25,Smart,25,41.36806800711614,2.143382961791234,9
Smart_25,Smart,25,41.384651619212,2.184281003819078,10
Smart_25,Smart,25,41.3874235229149,2.1128349805800877,11
Smart_25,Smart,25,41.42116300175085,2.157367395759168,12
Smart_25,Smart,25,41.39321224021506,2.1683059898146704,13
Smart_25,Smart,25,41.39961574404368,2.1432176684181043,14
Smart_25,Smart,25,41.411016699854514,2.1858686393237634,15
Smart_25,Smart,25,41.438398212216434,2.1942457080434874,16
Smart_25,Smart,25,41.384691569959244,2.1518445096972147,17
Smart_25,Smart,25,41.43603095210992,2.1476437936610813,18
Smart_25,Smart,25,41.40178974001587,2.1299522332960246,19
Smart_25,Smart,25,41.408350880673055,2.214425769751027,20
Smart_25,Smart,25,41.37634385316243,2.132915760506226,21
Smart_25,Smart,25,41.42466384146767,2.1709275694985157,22
Smart_25,Smart,25,41.39541993990096,2.1928345159065317,23
Smart_25,Smart,25,41.40545284545145,2.17653516481524,24
Smart_25,Smart,25,41.41739243284068,2.201283066591974,25
Baseline_50,Baseline,50,41.411918222577775,2.166748595461203,1
Baseline_50,Baseline,50,41.40707979459228,2.1781532772961283,2
Baseline_50,Baseline,50,41.39014163822003,2.1386268259069925,3
Baseline_50,Baseline,50,41.38565646683746,2.1368396006091315,4
Baseline_50,Baseline,50,41.37673996818725,2.192326834537548,5
Baseline_50,Baseline,50,41.41936831600241,2.1874796905090865,6
Baseline_50,Baseline,50,41.38012924379176,2.1895406300319364,7
Baseline_50,Baseline,50,41.37983329781133,2.16762500159338,8
Baseline_50,Baseline,50,41.42275494172353,2.1675437146931755,9
Baseline_50,Baseline,50,41.38749408090988,2.191260561348932,10
Baseline_50,Baseline,50,41.38859207943939,2.1618918143791634,11
Baseline_50,Baseline,50,41.37861301550233,2.155119396972361,12
Baseline_50,Baseline,50,41.39607473744314,2.135979089388623,13
Baseline_50,Baseline,50,41.39947576861663,2.132044173331376,14
Baseline_50,Baseline,50,41.39967696497802,2.14442580030639,15
Baseline_50,Baseline,50,41.42613745908083,2.1584626159929234,16
Baseline_50,Baseline,50,41.37690738181184,2.1363683233799176,17
