N_Chargers,Strategy,served_barrios_count,ev_population_served,unmet_demand_captured,coverage_efficiency,baseline_iterations,ev_population_served_p05,ev_population_served_p50,ev_population_served_p95,unmet_demand_captured_p05,unmet_demand_captured_p50,unmet_demand_captured_p95,coverage_efficiency_p05,coverage_efficiency_p50,coverage_efficiency_p95,ev_win_rate_vs_baseline,unmet_win_rate_vs_baseline,eff_win_rate_vs_baseline,baseline_ev_mean,baseline_ev_p05,baseline_ev_p50,baseline_ev_p95,Scenario_ID
10,Baseline,23.576666666666668,4465.551693384284,95.84396870617071,0.059216969810161564,300,3195.09284327151,4447.238133058777,5578.326906568002,69.39305117691305,94.78691708071905,120.41545116244012,0.0423696173355193,0.05897411660335203,0.07397330468860897,,,,,,,,Baseline_10
10,Smart,32.0,4991.346858762576,118.28633615167911,0.06618945575868686,300,,,,,,,,,,0.76,0.9366666666666666,0.76,4465.551693384284,3195.09284327151,4447.238133058777,5578.326906568002,Smart_10
25,Baseline,43.92333333333333,9187.245127142105,199.76372413343387,0.12183059444559215,300,7685.695988969989,9227.555898943587,10704.281913312148,167.59656984246172,200.12902381379905,229.91325801316518,0.10191879046505753,0.12236514917044936,0.14194777765962271,,,,,,,,Baseline_25
25,Smart,56.0,13399.711479268502,311.2604627823072,0.17769143985238697,300,,,,,,,,,,1.0,1.0,1.0,9187.245127142105,7685.695988969989,9227.555898943587,10704.281913312148,Smart_25
50,Baseline,58.74666666666667,14245.151586502425,311.27852101255735,0.18890268646734418,300,12772.27302744547,14260.966023032113,15733.495309195067,275.1807858206569,311.9922334255274,345.8458467016065,0.16937107847030194,0.18911239919151457,0.20863937553633558,,,,,,,,Baseline_50
50,Smart,70.0,22575.682952874376,536.5288630943871,0.29937253617390763,300,,,,,,,,,,1.0,1.0,1.0,14245.151586502425,12772.27302744547,14260.966023032113,15733.495309195067,Smart_50
